# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
what	driver	verdict	commit	control	alone	date	issue
A1a send while idle (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; three unique shell sends echoed while idle, including the required last reply	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; markers P2874-A1A-shell-1-MTCUKQ8T, P2874-A1A-shell-2-MTCUKTV8, and P2874-A1A-shell-3-MTCUKXHV all echoed; last reply=true	yes; named p2917tip0828 only; no concurrent shell probe; root 83G free at 13:07:23 CEST; swap si/so 0/0 in gate samples; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a1a.json	2026-08-28 13:07:23 CEST	POD-2917
A1c send to a dead session (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; dead-session send returned a typed dead_letter refusal and did not disappear silently	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; baseline marker P2874-A1C-CONTROL-MTCULHAQ echoed and replied before kill; refusal disposition=dead_letter	yes; named p2917tip0828 only; no concurrent shell probe; root 83G free at 13:07:58 CEST; swap si/so 0/0 in gate samples; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a1c.json	2026-08-28 13:07:58 CEST	POD-2917
A2b status at boot (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; fresh shell session reported idle at boot	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; unique marker P2917-A2B-MTCULZ78 echoed in 500ms independently of the status assertion	yes; named p2917tip0828 only; no concurrent shell probe; root 83G free at 13:08:21 CEST; swap si/so 0/0 in gate samples; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a2b.json	2026-08-28 13:08:21 CEST	POD-2917
A6a terminal attach + type (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; keystrokes echoed, resize refit, and second viewer saw the same screen	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; marker P2874-A6A-MTCUMIQ8 echoed; attached=1; second replay=true; geometry 80x24 to 100x30	yes; named p2917tip0828 only; no concurrent shell probe; root 83G free at 13:08:42 CEST; swap si/so 0/0 in gate samples; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a6a.json	2026-08-28 13:08:42 CEST	POD-2917
A7a daemon restart (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; daemon restart retained the same live shell conversation and codeword	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; codeword marker P2874-A7A-MTCUN38Q echoed before restart and after restart; daemon PID 313566 -> 321233; post-restart daemon pin matched	yes; named p2917tip0828 only; no concurrent shell probe; root 83G free at 13:09:13 CEST; swap si/so 0/0 in gate samples; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a7a.json and pins/p2917tip98ef-a7a-post-restart.json	2026-08-28 13:09:13 CEST	POD-2917
A9 kill session (POD-2917 current-tip shell redrive; named p2917tip0828)	shell-native	PASS; session process tree was gone immediately and after five minutes with no orphan session server	98ef8d6e08ee53acef2c9dbb1edeafe62e4e88e8	yes; marker P2917-A9-MTCUNYLK echoed in 500ms; exact PID-to-CWD census found one target process before kill, zero in all ten immediate samples, and zero after 300000ms	yes; named server/daemon were expected alive; no session CWD under rig or state root in independent numeric /proc scan at 13:16:00; root 82G free then; evidence docs/evidence/pod-2917/readings/p2917tip98ef.a9.json and p2917tip98ef-a9-census.txt	2026-08-28 13:09:51 CEST	POD-2917
A4a permission ask (POD-3037 grok approval drive)	grok-acp	PARTIAL chat enumerated a structured ask AND the native terminal showed the same ask before the answer, but the native terminal still looked to be prompting after it; the both-planes clause is unmet	fe311c5def391808884aa9c1c736d84ee0de3180	yes 3 transcript items 3 delta frames; first-answer control fired	yes named instance; no concurrent drive	2026-08-28 14:06:57 CEST	POD-3037
A4b answer twice (POD-3037 grok approval drive)	grok-acp	PASS first allow-once returned ok:true, removed the ask from the open set, caused exactly one side effect; second answer returned a typed already-answered refusal with no second execution	fe311c5def391808884aa9c1c736d84ee0de3180	yes 3 transcript items 3 delta frames	yes named instance; no concurrent drive	2026-08-28 14:06:57 CEST	POD-3037
A1a send while idle (POD-3036 no-copy p3036n)	claude-sdk	PASS; three idle sends replied, including the required last send	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — send delivered or a needle appearing on the chat/transcript plane: 3/3 delivered; user=3 assistant=3 lastAssistant=true	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:51 CEST	POD-3036
A1b send while busy (POD-3036 no-copy p3036n)	claude-sdk	PASS; busy send queued with a durable position, survived reload, and answered idle	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the first busy-turn send delivering and the session producing an in-flight signal: first user turn=true; preview=true; working=true at 24ms	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:56 CEST	POD-3036
A2a status while working (POD-3036 no-copy p3036n)	claude-sdk	PASS; working appeared within 2s, stayed working through the sample, and returned idle	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the working-turn send delivering or producing a measurable in-flight signal: user=true; assistant=true; workingAt={"at":28,"phase":"working","status":"live","driverId":"claude-sdk"}	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:57 CEST	POD-3036
A2b status at boot (POD-3036 no-copy p3036n)	claude-sdk	PASS; fresh session reported idle at boot	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — new session attach/output/bind evidence independent of the status value: created={"sessionId":"91c96f3d-1e73-4566-a1fc-33a30135d6ad","agentId":"91c96f3d-1e73-4566-a1fc-33a30135d6ad","harness":"claude-code","model":null,"effort":null,"	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:51 CEST	POD-3036
A3 interrupt mid-turn (POD-3036 no-copy p3036n)	claude-sdk	FAIL; interrupt returned without a stopping record	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the turn send delivering and an observed working phase before interrupt: user=true; working=true	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:57 CEST	POD-3036
A4a permission ask (POD-3036 no-copy p3036n)	claude-sdk	BLOCKED; no permission ask was raised	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the session becoming live independent of whether an ask is raised: attached=1; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:00 CEST	POD-3036
A4b answer twice (POD-3036 no-copy p3036n)	claude-sdk	BLOCKED; no permission ask was raised	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the session attach/transcript becoming live before the ask answer test: items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:01 CEST	POD-3036
A5 transcript (POD-3036 no-copy p3036n)	claude-sdk	BLOCKED; agent did not produce a tool call, so pairing was not exercised	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the transcript fixture send delivering or a needle appearing: user=true; assistant=true; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:57 CEST	POD-3036
A6b chat-CLI switch both directions twice (POD-3036 no-copy p3036n)	claude-sdk	FAIL; a chat/CLI switch lost a reply or terminal echo	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the first chat send landing before view switches: chat control user=true; reply=true	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:59 CEST	POD-3036
A7a daemon restart (POD-3036 no-copy p3036n)	claude-sdk	PASS; daemon restart retained the same live conversation and codeword	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — pre-restart Claude codeword send/reply: user=true; reply=true	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:00 CEST	POD-3036
A7b hibernate and wake (POD-3036 no-copy p3036n)	claude-sdk	PASS; hibernate/wake preserved the conversation and answered after wake	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — pre-hibernate conversation replying with a unique codeword: user=true; reply=true	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:00 CEST	POD-3036
A8 logged-out spawn (POD-3036 no-copy p3036n)	claude-sdk	FAIL; logged-out spawn showed no working login path	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — logged-out Claude spawn producing a live surface: attached=1; screenBytes=0; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:50 CEST	POD-3036
A9 kill session (POD-3036 no-copy p3036n)	claude-sdk	PASS; session process tree was gone immediately and after five minutes	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — target session process tree existing before kill: processes=2; screenBytes=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:02 CEST	POD-3036
A10 driver identity (POD-3036 no-copy p3036n)	claude-sdk	PASS; session reported claude-sdk/(none)	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — session reporting a driver identity after spawn: driverId=claude-sdk; family=(none)	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:51 CEST	POD-3036
B quota/auth classification (POD-3036 no-copy p3036n)	claude-sdk	PASS; turn succeeded after reset; no quota/auth class	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — a delivered send, reply needle, quota text, auth text, or structured error from a live session: user=true; assistant=true; class=none	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 14:02 CEST	POD-3036
B auth classification (POD-3036 no-copy p3036n)	claude-sdk	FAIL; logged-out spawn showed no working login path (BAUTH logged-out classification)	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — logged-out Claude spawn producing a live surface: attached=1; screenBytes=0; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-sdk; isolatedCred=absent; pin c71b896	2026-08-28 13:50 CEST	POD-3036
A1a send while idle (POD-3036 no-copy p3036n)	claude-pty	FAIL; one of the three idle sends did not land or reply	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — send delivered or a needle appearing on the chat/transcript plane: 1/1 delivered; user=1 assistant=0 lastAssistant=false	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 13:52 CEST	POD-3036
A2b status at boot (POD-3036 no-copy p3036n)	claude-pty	PASS; fresh session reported idle at boot	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — new session attach/output/bind evidence independent of the status value: created={"sessionId":"5435626e-d192-467a-aad7-84c1d89a530b","agentId":"5435626e-d192-467a-aad7-84c1d89a530b","harness":"claude-code","model":null,"effort":null,"	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 13:52 CEST	POD-3036
A6a terminal attach and type (POD-3036 no-copy p3036n)	claude-pty	PASS; keystrokes echoed, resize refit, and second viewer saw the same screen	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — the first native viewer receiving an attached terminal stream: attached=1; screenBytes=5795	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 14:08 CEST	POD-3036
A8 logged-out spawn (POD-3036 no-copy p3036n)	claude-pty	BLOCKED; login path is visible; completing external OAuth is outside this rig	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — logged-out Claude spawn producing a live surface: attached=1; screenBytes=3591; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 13:50 CEST	POD-3036
A10 driver identity (POD-3036 no-copy p3036n)	claude-pty	PASS; session reported claude-pty/(none)	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — session reporting a driver identity after spawn: driverId=claude-pty; family=(none)	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 13:51 CEST	POD-3036
B quota/auth classification (POD-3036 no-copy p3036n)	claude-pty	BLOCKED; provider classed as authentication	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — a delivered send, reply needle, quota text, auth text, or structured error from a live session: user=true; assistant=false; class=authentication	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 14:08 CEST	POD-3036
B auth classification (POD-3036 no-copy p3036n)	claude-pty	BLOCKED; login path is visible; completing external OAuth is outside this rig (BAUTH logged-out classification)	c71b896a9504426ee6706a0623e9cb25e704cc98	yes — logged-out Claude spawn producing a live surface: attached=1; screenBytes=3591; items=0	yes named p3036n; no concurrent drive; no-copy; TOS=1; runtimeContract=claude-pty; isolatedCred=absent; pin c71b896	2026-08-28 13:50 CEST	POD-3036
A1c send to a dead session (Codex 0.149.1 current-tip c860611 re-drive)	codex-app-server	FAIL; exact stamped PID 693767 was killed and gone; dead send returned ok=true disposition=delivered, but typed refusal/resume were false and the assistant nonce was absent through the full 120s delayed window	c860611a5d516c7ade492c2df2687cb5efff09d3	yes; live control answered; exact daemon UUID+session stamp identified one child and dead-confirmed the kill; delayed terminal-outcome clause was measured and LOST	yes; named p2929f1; server 692684 and daemon 693174 plus served web bundle pinned to c860611; Codex 0.149.1 selected from exact installed path; no concurrent probe; no test:heavy lease acquired or queued	2026-08-28 14:20:09 CEST	POD-2929
A9 kill session (Codex 0.149.1 current-tip c860611 re-drive)	codex-app-server	PASS; exact stamped PID 715580:1218561 was gone at 15s and 300s; stamped rebounds=0 at both checkpoints; infrastructure=2/2; full 300s census completed	c860611a5d516c7ade492c2df2687cb5efff09d3	yes; ALIVE-QOVAXF replied; exact UUID+session stamp and PID+start identity fired before sessions.kill; original liveness and stamped-rebound clauses measured independently at 15s/300s	yes; named p2929f9; server 714582 and daemon 714910 plus served web bundle pinned to c860611; Codex 0.149.1 selected from exact installed path; no concurrent probe; no test:heavy lease acquired or queued	2026-08-28 14:24:15 CEST	POD-2929
A6b chat-CLI switch both directions twice (POD-3042 MAIN baseline)	generic-pty-on-main	PARTIAL main has NO opencode-server driver; measured on main's native legacy generic-PTY fallback: switching, no-restart, size and both post-switch actions PASSED; scrollback corruption UNMEASURED. Provider-level baseline, not an exact same-driver comparator	0bd90092c3a926b9305da34547fcc51b1e19b0a7	yes chat answered and CLI nonce echoed before switching	yes DEFAULT instance	2026-08-28 14:58:38 CEST	POD-3042
A3 interrupt mid-turn (POD-3042 MAIN baseline)	generic-pty-on-main	PARTIAL main has NO codex-app-server driver, so there is NO exact comparator; main's legacy generic-PTY reading: interrupt accepted, output stopped, final row idle.interrupted, but NO event:interrupt transcript marker -- the SAME missing marker the epic shows	0bd90092c3a926b9305da34547fcc51b1e19b0a7	yes post-prime PTY output grew while phase=working	yes DEFAULT instance	2026-08-28 14:58:38 CEST	POD-3042
A3 interrupt mid-turn (POD-3043 SDK interrupt receipt; HERMETIC, no live drive)	claude-sdk	PARTIAL turn-stops and refused-interrupt-says-why proven at the unit boundary; transcript marker proven PRODUCED and correctly worded but NEVER observed surviving a real instance transcript read. NOT a live A3 arm. 9 mutants each killed by exactly one test, incl. a restored-swallow reproducing the original defect at the host boundary	14de478a8	NO live positive control -- unit-boundary control only; hermetic by instruction, not by choice	yes no heavy lease; typecheck 25/25, lean gate PASSED with PODIUM_TEST_WORKERS=1, 92 focused tests	2026-08-28 15:11:51 CEST	POD-3043
A6b chat-CLI switch both directions twice (POD-3038 current-tip appendix; measured at 5fe951f2f)	codex-app-server	PARTIAL; positive control fired; no-restart, correct-size, both-view functionality, and both post-switch actions passed; no-scrollback-corruption remains UNMEASURED	5fe951f2fe5ff3300330d64a3a5b0a4df3a76fe2	yes positive control fired	yes named p3038-redrive-c; no-copy; exact-main comparator REFUSED without a fired control	2026-08-28 14:24:35 CEST	POD-3038
A6b chat-CLI switch both directions twice (POD-3038 current-tip appendix; measured at 5fe951f2f)	opencode-server	FAIL; positive control fired; chat plane passed but CLI echo failed after both switches; no-scrollback-corruption remains UNMEASURED; exact-main comparator REFUSED without a fired control, so regression status unresolved	5fe951f2fe5ff3300330d64a3a5b0a4df3a76fe2	yes positive control fired	yes named p3038-redrive-c; no-copy; exact-main comparator REFUSED	2026-08-28 14:27:39 CEST	POD-3038
A3 interrupt mid-turn (POD-3038 current-tip appendix; measured at 5fe951f2f)	codex-app-server	PARTIAL; positive control fired and turn stopped in 525ms, but no transcript interrupt marker was present; refusal clause N/A because interrupt was accepted; exact-main comparator REFUSED without a fired control	5fe951f2fe5ff3300330d64a3a5b0a4df3a76fe2	yes in-flight positive control fired	yes named p3038-redrive-c; no-copy; exact-main comparator REFUSED	2026-08-28 14:33:37 CEST	POD-3038
A8 logged-out spawn (POD-3038 current-tip appendix; measured at 5fe951f2f)	opencode-server	PARTIAL; authenticated positive control fired; logged-out demotion and loginRequired=true were observed, but no login interaction was offered and post-login server binding was not driven for credential safety	5fe951f2fe5ff3300330d64a3a5b0a4df3a76fe2	yes credential-present control fired	yes named p3038-redrive-c; no-copy; credential restored; post-login not driven	2026-08-28 14:38:35 CEST	POD-3038
A6b chat-CLI switch both directions twice (POD-3060 LIVE post-fix verification)	opencode-server	PARTIAL, not green -- the defining clause CLI-still-echoes-after-switching PASSES on the landed fix (nonce echoed, +87847 terminal bytes) where the pre-fix reading at 5fe951f2f FAILED after both switches. Also PASS: both directions twice (chat-CLI-chat-CLI), no restart (epoch 0, agent-process census unchanged), correct size (120x40 throughout), chat still answers (CHATAFTER-QWC6MA). PARTIAL only because no-scrollback-corruption was not measurable; the probe's aggregate A6b PASS was refused per Decision 28	22ac634ec49cf714da84193f926207dc2fc816cd	yes positive control fired before any switch	yes named instance; post-landing verification of b5a3aa870	2026-08-28 17:12:00 CEST	POD-3060
A3 interrupt mid-turn (POD-3065 post-ccdea1f93 re-read)	codex-app-server	PARTIAL unchanged -- NOT an instrument artifact. Interrupt accepted {ok:true,requested:protocol}, turn left working after 524ms, 0 terminal bytes at the call and +0 after 6s and 12s. The ONLY failing clause is the transcript interrupt marker: items WERE enumerated and none carried event:'interrupt'. The reader was not empty, so the home-split bug did not manufacture this	f76f698cecc8aeb5021803902579a17d7a0852dc	yes 3 preview frames while phase=working	yes named p3065x	2026-08-28 17:44:39 CEST	POD-3065
A3 interrupt mid-turn (POD-3065 post-ccdea1f93 re-read)	opencode-server	PARTIAL unchanged -- NOT an instrument artifact. Interrupt accepted {ok:true,requested:protocol}, turn left working after 14ms, 0 terminal bytes and +0 after 6s and 12s. Only the transcript interrupt marker fails: items enumerated, none carried event:'interrupt'	f76f698cecc8aeb5021803902579a17d7a0852dc	yes 5 preview frames while phase=working	yes named p3065x	2026-08-28 17:44:39 CEST	POD-3065
A5 transcript tool-call/result persistence (POD-3065 post-ccdea1f93 re-read)	grok-acp	FAIL unchanged -- NOT an instrument artifact. The transcript was NON-EMPTY and contained one tool item with call=true, so the reader worked; the result half is genuinely missing	f76f698cecc8aeb5021803902579a17d7a0852dc	yes 3 transcript items, 1 tool item, 3 delta frames; driver bound grok-acp/server	yes named p3065x	2026-08-28 17:44:39 CEST	POD-3065
A1c send to a dead session (POD-3044 pre/post A/B on the fix)	codex-app-server	PASS post-fix: dead send returned {ok:false, reason:'dead-lettered: delivery-failed', disposition:'dead_letter'} -- a typed refusal BEFORE acceptance, no resume offer. PRE-FIX arm on the same rig FAILED with the full 120s observation. Live-send regression control passed: a send to the live session before killing its exact child was still answered true, so the fix does not refuse live sends	41f80e306	yes live send answered true on BOTH arms; scorer-control gate SCORER CONTROLS PASS with PODIUM_TEST_WORKERS=1	yes named instance; pre/post A/B on one rig	2026-08-28 17:59:00 CEST	POD-3044
A1c send to a dead session (POD-3069 post-fix drive)	claude-pty	PASS dead send returned a typed dead-lettered: delivery-failed refusal; live-send control PASS and exact-kill PASS on the same rig. NOT a repaired regression -- claude-pty-on-main fails identically, so this is an improvement over main	ad02520	yes alive-send control with exact PODIUM_INSTANCE_UUID + PODIUM_SESSION_ID attribution	yes named instance; per-driver rig	2026-08-28 18:49:28 CEST	POD-3069
A1c send to a dead session (POD-3069 post-fix drive)	grok-acp	PASS dead send returned a typed dead-lettered: delivery-failed refusal; live-send control PASS and exact-kill PASS	af49f9c	yes alive-send control with exact UUID+session attribution	yes named instance; per-driver rig	2026-08-28 18:49:28 CEST	POD-3069
A1c send to a dead session (POD-3069 post-fix drive)	opencode-server	PASS dead send returned a typed dead-lettered: delivery-failed refusal; live-send control PASS and exact-kill PASS	b314090	yes alive-send control with exact UUID+session attribution	yes named instance; per-driver rig	2026-08-28 18:49:28 CEST	POD-3069
[single] A1a send while idle	claude-sdk	PASS three idle sends each replied with their own needle; the required last send answered	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes 3/3 delivered, 3 user and 3 assistant needles landed	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:33:21 CEST	POD-3047
[single] A1b send while busy	claude-sdk	PARTIAL the message was NOT lost -- it came back after a reload with position 1 -- but sent while the session was PROVABLY working (phase sampled at the send, not merely before it) the product answered queued=false disposition=delivered, a disposition contradicting both the position it carries and the running turn it entered. Clauses: busyAtSend=true position=1 answeredAfterReload=true queuedFlag=FALSE	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the first turn was in flight and the phase was re-sampled at the moment of the second send	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:40:30 CEST	POD-3047
[single] A1c send to a dead session	claude-sdk	BLOCKED structurally undriveable: the SDK spawns claude-sdk-host per TURN, so between turns there is no persistent agent process to kill. Killing anything else tests a bystander, which an earlier revision of this probe did (it matched `claude auth status` and reported a vacuous PASS)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	no control REFUSED: no claude-sdk-host child exists between turns	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:36:47 CEST	POD-3047
[single] A2a status while working	claude-sdk	PASS working appeared at 26ms, stayed working with ZERO flicker-idle across the whole sample, and returned idle after the turn CLOSED (waited, not sampled instantaneously -- the criterion says idle AFTER end)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes send delivered, user needle landed, assistant answered	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:38:01 CEST	POD-3047
[single] A2b status at boot	claude-sdk	PASS a fresh session reported phase idle at boot, not working and not blank	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes sessions.create returned a row, viewer attached, driverId bound to claude-sdk	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:36:44 CEST	POD-3047
[single] A3 interrupt mid-turn (POD-3043 repair; the live arm POD-3043 was forbidden to run)	claude-sdk	PASS every clause. Turn stopped after sessions.interrupt; EXACTLY ONE durable record id claude-sdk-interrupt-<sid>-1 role system reading "Turn interrupted by the operator." -- the wording used ONLY when the provider confirmed; still present in a viewer opened after the first was dropped, which is the clause POD-3043 recorded as PROVEN PRODUCED NOT PROVEN SURVIVING; two further presses on the idle session left exactly one "Interrupt refused: no turn was in flight." receipt with the stop record untouched. Provider-refusal clause not exercised live. sessions.read is now POPULATED at this pin, so the record is visible on both planes	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes turn observed in flight, zero pre-existing stop records; NEGATIVE control A3NEG fired separately	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:34:50 CEST	POD-3047
[single] A3 negative control -- the confirmed wording must be capable of not appearing	claude-sdk	PASS SIGSTOP on claude-sdk-host makes the ack undeliverable through the 5s deadline rather than the close handler. Same code path, opposite sentence: "the model host did not confirm the interrupt before the turn ended.", exactly one record. Without this arm A3 wording clause cannot fail	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes exactly one claude-sdk-host child found and frozen; all frozen pids continued on exit	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:35:06 CEST	POD-3047
[single] A4a permission ask	claude-sdk	BLOCKED no PERMISSION-kind interaction in 45s and the guarded write happened anyway (marker outside the session cwd). Default SDK permission mode is auto and sessions.create exposes no way to force an asking posture. NOT a pass. Scored on interaction KIND after an earlier revision counted a login prompt as the ask and produced a false PASS	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session live and attached; marker measured on disk; non-permission open kinds counted and reported	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:41:05 CEST	POD-3047
[single] A4b answer twice	claude-sdk	BLOCKED no permission ask exists to answer twice, and the guarded write landed regardless. NOT a pass	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session live and attached; marker present outside the session cwd	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:41:54 CEST	POD-3047
[single] A5 transcript	claude-sdk	PASS the Bash call appears as a tool item carrying toolName, toolInput and toolUseId, paired to a -result item carrying the file contents; reload history matches. sessions.read returns 5 items. This cell was FAIL earlier in this drive at pin 86d707d89 (POD-3050 fixed it) and its snapshot was re-settled after POD-3057 made the reader return early	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the fixture marker came back in the assistant reply, obtainable only by reading the file	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:34:27 CEST	POD-3047
[single] A6a terminal attach and type	claude-sdk	BLOCKED n/a ON THIS DRIVER, PASS ON THE OTHER. clientTerminal is a field of ServerRuntimeSpec and claude declares server: unsupported (claude-code.ts:230), so there is no place in the TYPE to declare a stock client TUI -- absent by construction, not omission. claude-pty PASSED A6a on this same rig and pin	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes session bound to claude-sdk so applicability could be judged	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:42:42 CEST	POD-3047
